code,x,y
T01.01.01,1967,3895
T01.01.02,2426,3723
T01.01.03,2590,3783
T01.01.04,2211,4293
T01.01.06,2016,4199
T01.01.07,2090,4207
T01.02.01,2350,3875
T01.02.02,2195,3775
T01.02.03,2355,4135
T01.04.01,2879,4162
T01.05.01,3141,3773
T01.05.02,3309,3887
T01.05.03,3223,4127
T01.05.04,3213,4301
T01.06.01,2828,3902
T01.06.02,3425,4232
T01.06.03,3060,4138
T01.06.04,3060,4256
T02.01.01,3930,3782
T02.01.02,3844,3842
T02.01.03,3930,3906
T02.01.04.01,3723,4289
T02.02.01,3612,3896
T02.02.02,4714,3906
T02.02.04,4543,4307
T02.03.01,4794,3782
T02.04,4244,3902
T02.05.01,4564,3786
T02.05.02,4562,4140
T03.01.01,5027,3846
T03.01.02,5109,3786
T03.01.03,5032,4141
T03.02.01,5344,3665
T03.02.02,5431,3729
T03.03.01,6212,4084
T03.03.02,5040,4251
T03.04.01,6052,3904
T03.04.03,6052,3728
T03.05.01,5342,4244
T03.05.02,5348,4078
T03.05.03,5482,4316
T03.05.04,5212,4316
T03.06.01,5513,3907
T03.06.02,5835,3814
T03.08.01,5732,4171
T03.08.02,6120,4095
T03.09,6293,3845
T03.10.03,6226,4628
T03.10.04,6371,4423
T03.10.05,6140,4438
T03.10.08,6128,4624
T04.01.01,7312,3727
T04.01.02,7397,3668
T04.02.01,7546,3912
T04.02.02,7553,4134
T04.04.01,7714,4105
T04.05.01,7257,4176
T04.05.02,7080,3665
T04.06.01,7225,3907
T04.07.01,6922,3781
T04.07.02,6776,4354
T04.08,7240,3553
T04.09.01,6608,3910
T04.09.02,6692,3836
T04.09.03,6766,3905
T04.10,7460,4373
T05.01,8338,3908
T05.02.01,8236,4280
T05.03.01,7864,3905
T05.03.02,7867,4258
T05.04.01,8031,3784
T05.05.01,8648,3902
T05.05.02,8653,4087
T05.06,8813,3781
T05.07,8651,3665
T06.01.01,8843,4265
T06.01.02,9749,4262
T06.02.01,9761,3779
T06.03.01,9452,3903
T06.03.02,9452,3762
T06.04.01,9124,3905
T06.05,9532,4191
T06.06,9120,3663
T06.07,8969,4085
T06.08,9280,3725
T07.01.01,10545,3902
T07.02.01,10854,3902
T07.02.02,10858,4142
T07.02.03,10937,4277
T07.03.01,10074,3897
T07.03.02,10081,4142
T07.04,10220,3776
T07.05.01,10518,4189
T07.05.02,10960,4147
T07.06,10069,4260
T10.01,8821,3433
T10.02,8651,3044
T10.03,8866,2736
T10.04,9250,2857
T10.05,9314,3348
T11.01,5133,3520
T11.02,5451,3317
T11.03,5156,3339
T11.04,5382,3061
T11.05,4964,3051
T11.06,5425,2770
T11.07,5064,2804
T12.2,7502,3294
T12.3,6905,2887
T13.02.01,4410,3094
T13.02.02,4236,3026
T13.03,4592,2780
T13.04,4720,3384
T13.09,4224,3432
T13.10,4228,2760
T14.01.01,8152,3082
T14.01.02,8244,3412
T14.01.03,8176,3208
T14.01.05,8142,3394
T14.01.06,8014,3134
T14.01.07,7952,3372
T14.01.08,7812,3452
T14.02.01,8252,2688
T14.02.02,7796,2764
T14.03.02,7830,2850
T14.03.03.01,7880,2986
T15.01,6514,1353
T15.01.01,6601,994
T15.01.02,6739,999
T15.01.03,6942,999
T15.01.05,7307,1001
T15.01.06,7489,1001
T15.01.07,6838,1095
T15.01.08,6968,1103
T15.01.10,7494,1140
T15.01.11,6850,1139
T15.01.12,6976,1145
T15.01.13,7117,1159
T15.01.14,7489,1184
T15.01.17,7217,1239
T15.01.18,7346,1231
T15.01.19,7484,1223
T15.01.20,6599,1335
T15.01.21,6756,1324
T15.01.22,7212,1288
T15.01.24,7471,1268
T15.02,7561,1070
T15.03,7323,1118
T15.04,7001,1282
T15.05,6641,1174
T15.06,7558,1344
T17.01.01,9152,1414
T17.01.02,9286,1590
T17.01.03,8696,1128
T17.01.05,9136,1196
T17.02.01,9160,1626
T17.02.02,8886,1798
T17.02.03,8918,1650
T17.03.01,9384,1340
T17.04.01,9002,1772
T17.05.01,8784,1734
T17.05.03,8638,1852
T17.05.04,8568,1642
T17.06,8830,1118
T17.07.01,8598,1218
T17.07.03,8564,1346
T17.09.01,8890,1292
T17.09.03,8754,1634
T19.01.05,7928,1614
T19.02.02,7906,1774
T19.03.02,7344,1854
T19.04.02,6826,2208
T19.05.02,7646,1992
T19.06.02,8152,1954
T19.07.01,7861,1435
T19.07.03,7070,1611
T19.07.04,6443,2414
T19.08,6758,1988
T19.09.01,7570,2186
T19.09.02,8024,2166
T19.09.03,8016,2380
T19.09.04,8813,2346
T19.10.01,8720,2107
T19.10.02,9058,2238
T19.10.03,8856,2176
T19.11.01,7173,2529
T19.11.02,7294,2528
T19.11.03,7235,2625
T19.12,7244,2349
T19.13,7928,1231
T20.01,3456,3556
T20.02,3920,3291
T20.03.01,3885,3024
T20.04,3267,3115
T20.05,3618,2660
T24.01.02,2034,3446
T24.02.01,1885,3574
T24.02.02,1705,3429
